scientificName,scientificNameAuthorship,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,hybrid,variety,provincial_status,national_status,global_status,linkName,linkTaxonID,provincial_status_norm,national_status_clean,national_status_norm,national_status_check,bc_list,residencyStatus,residencyStatusCheck,iNaturalistTaxonId,iNaturalistTaxonName,infraorder,genus,species,subspecies,nameStatus
Hadromyia grandis,Williston,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,Milesiini,,,genus not in CDC records,,,Hadromyia grandis,498419,NA,,NA,FALSE,NA,NA,NA,498419,Hadromyia grandis,Cyclorrhapha,Hadromyia,grandis,,accepted
Hadromyia pulcher,(Williston),Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,Milesiini,,,genus not in CDC records,,,Hadromyia pulchra,906957,NA,,NA,FALSE,NA,NA,NA,906957,Hadromyia pulchra,Cyclorrhapha,Hadromyia,pulchra,,unaccepted
Halecium densum,Calkins,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Haleciidae,,,,,not in CDC records,,,Halecium densum,,NA,,NA,FALSE,NA,NA,NA,874028,Halecium densum,,Halecium,densum,,accepted
Halosydna brevisetosa,Kinberg,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Lepidonotinae,,,,not in CDC records,,,Halosydna brevisetosa,,NA,,NA,FALSE,NA,NA,NA,71236,Halosydna brevisetosa,,Halosydna,brevisetosa,,accepted
Hamigera sp.,Schmidt,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Hymedesmiidae,,,,,genus not in CDC records,,,Hamigera,,NA,,NA,FALSE,NA,NA,NA,342247,Hamigera,,Hamigera,,,accepted
Harmothoe extenuata,Grube,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Polynoinae,,,,not in CDC records,,,Harmothoe extenuata,,NA,,NA,FALSE,NA,NA,NA,347325,Harmothoe extenuata,,Harmothoe,extenuata,,accepted
Helisoma sp.,Swainson,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Hygrophila,,,Lymnaeoidea,Planorbidae,Planorbinae,Helisomatini,,,genus is in CDC records,,,Helisoma,,NA,,NA,FALSE,NA,NA,NA,148201,Helisoma,,Helisoma,,,accepted
Henricia aspera ssp. aspera,Fisher,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,,,genus not in CDC records,,,Henricia aspera aspera,,NA,,NA,FALSE,NA,NA,NA,1265168,Henricia aspera aspera,,Henricia,aspera,Henricia aspera aspera,accepted
Henricia leviuscula ssp. leviuscula,Stimpson,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,,,genus not in CDC records,,,Henricia leviuscula; Henricia leviuscula leviuscula,,NA,,NA,FALSE,NA,NA,NA,0,,,,,,unknown
Henricia sanguinolenta,Müller,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,,,genus not in CDC records,,,Henricia sanguinolenta,,NA,,NA,FALSE,NA,NA,NA,62364,Henricia sanguinolenta,,Henricia,sanguinolenta,,accepted
Herpetogramma pertextalis,Lederer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Spilomelinae,Herpetogrammatini,,,genus not in CDC records,,,Herpetogramma pertextalis,,NA,,NA,FALSE,NA,NA,NA,143008,Herpetogramma pertextalis,,Herpetogramma,pertextalis,,accepted
Heterhelus pennatus,Murray,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujoidea,Kateretidae,,,,,genus is in CDC records,,,Heterhelus pennatus,,NA,,NA,FALSE,NA,NA,NA,221275,Heterhelus pennatus,Cucujiformia,Heterhelus,pennatus,,accepted
Heteropora pacifica,Borg,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Cerioporina,,Heteroporidae,,,,,genus not in CDC records,,,Heteropora pacifica,465163,NA,,NA,FALSE,NA,NA,NA,465163,Heteropora pacifica,,Heteropora,pacifica,,accepted
Hexadella sp.,Topsent,Animalia,Porifera,,,Demospongiae,Verongimorpha,,Verongiida,,,Ianthellidae,,,,,genus not in CDC records,,,Hexadella,,NA,,NA,FALSE,NA,NA,NA,481981,Hexadella,,Hexadella,,,accepted
Hieracium atratum,Fr.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,,,not in CDC records,,,Hieracium atratum,,NA,,NA,FALSE,NA,NA,NA,1248466,Hieracium atratum,,Hieracium,atratum,,accepted
Hippasteria phrygiana,Parelius,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Hippasterinae,,,,genus not in CDC records,,,Hippasteria phrygiana,464048,NA,,NA,FALSE,NA,NA,NA,464048,Hippasteria phrygiana,,Hippasteria,phrygiana,,accepted
Hordeum jubatum,L.,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,,,S5 (2020),,,Hordeum jubatum,60287,s5,,NA,FALSE,yellow,NA,NA,60287,Hordeum jubatum,,Hordeum,jubatum,,accepted
Humilaria kennerleyi,Reeve,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,Venerinae,,,,genus not in CDC records,,,Humilaria kennerleyi,,NA,,NA,FALSE,NA,NA,NA,873901,Humilaria kennerleyi,,Humilaria,kennerleyi,,accepted
Hydractinia sp. (H. aggregata?),van Beneden,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,,,,genus not in CDC records,,,Hydractinia,,NA,,NA,FALSE,NA,NA,NA,203798,Hydractinia,,Hydractinia,,,accepted
Hydrallmania franciscana,Trask,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,,,genus not in CDC records,,,Hydrallmania franciscana,,NA,,NA,FALSE,NA,NA,NA,873899,Hydrallmania franciscana,,Hydrallmania,franciscana,,accepted
Hymeniacidon sp.,Bowerbank,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Halichondriidae,,,,,SNR,,,Hymeniacidon,,snr,,NA,FALSE,not-listed,NA,NA,117756,Hymeniacidon,,Hymeniacidon,,,accepted
Idanthyrsus saxicavus,Baird,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Sabellariidae,,,,,not in CDC records,,,Idanthyrsus saxicavus,,NA,,NA,FALSE,NA,NA,NA,942519,Idanthyrsus saxicavus,,Idanthyrsus,saxicavus,,accepted
Ilybiosoma perplexum,(Sharp),Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Agabinae,Agabini,,,not in CDC records,,,Ilybiosoma perplexum,456193,NA,,NA,FALSE,NA,NA,NA,456193,Ilybiosoma perplexum,,Ilybiosoma,perplexum,,accepted
Inosperma maximum,(Kühner) Matheny & Esteve-Rav.,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Inocybaceae,,,,,not in CDC records,,,Inosperma maximum,1112501,NA,,NA,FALSE,NA,NA,NA,1112501,Inosperma maximum,,Inosperma,maximum,,accepted
Ionaspis sp.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Hymeneliales,,,Hymeneliaceae,,,,,,,,Ionaspis,,NA,,NA,FALSE,NA,NA,NA,175708,Ionaspis,,Ionaspis,,,accepted
Janolus gelidus,Millen,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Janolina,Proctonotoidea,Janolidae,,,,,genus not in CDC records,,,Antiopella gelida,1393887,NA,,NA,FALSE,NA,NA,NA,1393887,Antiopella gelida,,Antiopella,gelida,,unaccepted
Jasminum nudiflorum,Lindl.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Oleaceae,,,,,not in CDC records,,,Jasminum nudiflorum,164232,NA,,NA,FALSE,NA,NA,NA,164232,Jasminum nudiflorum,,Jasminum,nudiflorum,,accepted
Kaburakia excelsa,Bock,Animalia,Platyhelminthes,Rhabditophora,,,,,Polycladida,Acotylea,Stylochoidea,Callioplanidae,,,,,genus not in CDC records,,,Kaburakia excelsa,,NA,,NA,FALSE,NA,NA,NA,56699,Kaburakia excelsa,,Kaburakia,excelsa,,accepted
Kellia suborbicularis,Montagu,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Galeommatida,,Galeommatoidea,Lasaeidae,,,,,genus not in CDC records,,,Kellia suborbicularis,,NA,,NA,FALSE,NA,NA,NA,253475,Kellia suborbicularis,,Kellia,suborbicularis,,accepted
Kerria japonica,(L.) DC.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Kerrieae,,,unlisted,,,Kerria japonica,125788,NA,,NA,FALSE,NA,NA,NA,125788,Kerria japonica,,Kerria,japonica,,accepted
Lacuna variegata,Carpenter,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Lacuninae,,,,genus not in CDC records,,,Lacuna variegata,,NA,,NA,FALSE,NA,NA,NA,339150,Lacuna variegata,,Lacuna,variegata,,accepted
Lacuna vincta,Montagu,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Lacuninae,,,,genus not in CDC records,,,Lacuna vincta,,NA,,NA,FALSE,NA,NA,NA,193902,Lacuna vincta,,Lacuna,vincta,,accepted
Laqueus californianus,Koch,Animalia,Brachiopoda,Rhynchonelliformea,,Rhynchonellata,,,Terebratulida,Terebratellidina,Laqueoidea,Laqueidae,Laqueinae,,,,genus not in CDC records,,,Laqueus vancouveriensis,,NA,,NA,FALSE,NA,NA,NA,525797,Laqueus vancouveriensis,,Laqueus,vancouveriensis,,unaccepted
Laqueus vancouverensis,Davidson,Animalia,Brachiopoda,Rhynchonelliformea,,Rhynchonellata,,,Terebratulida,,,Laqueidae,,,,,genus not in CDC records,,,Laqueus vancouverensis,,NA,,NA,FALSE,NA,NA,NA,0,,,,,,unknown
Larinus carlinae,Olivier,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Lixinae,Lixini,,,genus is in CDC records,,,Larinus carlinae,768460,NA,,NA,FALSE,NA,NA,NA,768460,Larinus carlinae,Cucujiformia,Larinus,carlinae,,accepted
Leuckartiara spp.,Hartlaub,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Pandeidae,,,,,genus not in CDC records,,,Leuckartiara,,NA,,NA,FALSE,NA,NA,NA,246862,Leuckartiara,,Leuckartiara,,,accepted
Lichenopora spp.,Defrance,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Rectangulata,,Lichenoporidae,,,,,genus not in CDC records,,,Lichenopora,,NA,,NA,FALSE,NA,NA,NA,192676,Lichenopora,,Lichenopora,,,accepted
Ligidium gracile,Dana,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,,,,not in CDC records,,,Ligidium gracile,339104,NA,,NA,FALSE,NA,NA,NA,339104,Ligidium gracile,Diplocheta,Ligidium,gracile,,accepted
Limnanthes douglasii,R. Br.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Limnanthaceae,,,,,unlisted,,,Limnanthes douglasii,51336,NA,,NA,FALSE,NA,NA,NA,51336,Limnanthes douglasii,,Limnanthes,douglasii,,accepted
Lirobittium attenuatum,Carpenter,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,Cerithioidea,Cerithiidae,Bittiinae,,,,genus not in CDC records,,,Lirobittium attenuatum,,NA,,NA,FALSE,NA,NA,NA,520940,Lirobittium attenuatum,,Lirobittium,attenuatum,,accepted
Littorina sitkana,Philippi,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Littorininae,,,,genus not in CDC records,,,Littorina sitkana,129298,NA,,NA,FALSE,NA,NA,NA,129298,Littorina sitkana,,Littorina,sitkana,,accepted
Lucilia illustris,Meigen,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,Luciliinae,Luciliini,,,SNR,,,Lucilia illustris,,snr,,NA,FALSE,not-listed,NA,NA,494868,Lucilia illustris,Cyclorrhapha,Lucilia,illustris,,accepted
Macoma nasuta,Conrad,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,,,,genus not in CDC records,,,Macoma nasuta,,NA,,NA,FALSE,NA,NA,NA,117612,Macoma nasuta,,Macoma,nasuta,,accepted
Maevia inclemens,Walckenaer,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,,,not in CDC records,,,Maevia inclemens,,NA,,NA,FALSE,NA,NA,NA,133054,Maevia inclemens,Entelegynae,Maevia,inclemens,,accepted
Marasmius calhouniae,Singer,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Marasmiaceae,Marasmieae,,,,not in CDC records,,,Marasmius calhouniae,118241,NA,,NA,FALSE,NA,NA,NA,118241,Marasmius calhouniae,,Marasmius,calhouniae,,accepted
Marsenina stearnsi,Dall,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Velutinoidea,Velutinidae,Velutininae,,,,genus not in CDC records,,,Marsenina stearnsii,,NA,,NA,FALSE,NA,NA,NA,53555,Marsenina stearnsii,,Marsenina,stearnsii,,invalid
Mazzaella oregona,"(Doty) Hughey, P.C.Silva & Hommersand",Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Gigartinaceae,,,,,not in CDC records,,,Mazzaella oregona,,NA,,NA,FALSE,NA,NA,NA,362211,Mazzaella oregona,,Mazzaella,oregona,,accepted
Melanella micans,Carpenter,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Vanikoroidea,Eulimidae,,,,,genus not in CDC records,,,Melanella micans,,NA,,NA,FALSE,NA,NA,NA,733259,Melanella micans,,Melanella,micans,,accepted
Melibe leonina,Gould,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Dendronotina,Dendronotoidea,Tethydidae,,,,,genus not in CDC records,,,Melibe leonina,48455,NA,,NA,FALSE,NA,NA,NA,48455,Melibe leonina,,Melibe,leonina,,accepted
Membranipora serrilamella,Osburn,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Membraniporina,Membraniporoidea,Membraniporidae,,,,,genus not in CDC records,,,Membranipora villosa,360867,NA,,NA,FALSE,NA,NA,NA,360867,Membranipora villosa,,Membranipora,villosa,,unaccepted
Merodon equestris,Fabricius,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,Merodontini,,,not in CDC records,,,Merodon equestris,194786,NA,,NA,FALSE,NA,NA,NA,194786,Merodon equestris,Cyclorrhapha,Merodon,equestris,,accepted
Metandrocarpa taylori,Huntsman,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,,,,genus not in CDC records,,,Metandrocarpa taylori,,NA,,NA,FALSE,NA,NA,NA,371195,Metandrocarpa taylori,,Metandrocarpa,taylori,,accepted
Metridium senile,L.,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,,,,not in CDC records,,,Metridium senile,49071,NA,,NA,FALSE,NA,NA,NA,49071,Metridium senile,,Metridium,senile,,accepted
Microcladia borealis,Ruprecht,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Ceramiaceae,Ceramioideae,Ceramieae,,,not in CDC records,,,Herpochondria borealis,,NA,,NA,FALSE,NA,NA,NA,1557586,Herpochondria borealis,,Herpochondria,borealis,,unaccepted
Microporina borealis,Busk,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Microporoidea,Microporidae,,,,,genus not in CDC records,,,Microporina borealis,,NA,,NA,FALSE,NA,NA,NA,1081441,Microporina borealis,,Microporina,borealis,,accepted
Mimesa sp.,Shuckhard,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Pemphredoninae,Psenini,,,genus not in CDC records,,,Mimesa,,NA,,NA,FALSE,NA,NA,NA,250760,Mimesa,Aculeata,Mimesa,,,accepted
Mitrocoma cellularia,Agassiz,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Mitrocomidae,,,,,genus not in CDC records,,,Mitrocoma cellularia,493918,NA,,NA,FALSE,NA,NA,NA,493918,Mitrocoma cellularia,,Mitrocoma,cellularia,,accepted
Modiolus modiolus,L.,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Modiolidae,Modiolinae,,,,genus not in CDC records,,,Modiolus modiolus,,NA,,NA,FALSE,NA,NA,NA,123772,Modiolus modiolus,,Modiolus,modiolus,,accepted
Mopalia hindsii,Sowerby in Reeve,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,Mopalioidea,Mopaliidae,Mopaliinae,,,,genus not in CDC records,,,Mopalia hindsii,51725,NA,,NA,FALSE,NA,NA,NA,51725,Mopalia hindsii,,Mopalia,hindsii,,accepted
Mopalia muscosa,Gould,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,Mopalioidea,Mopaliidae,Mopaliinae,,,,genus not in CDC records,,,Mopalia muscosa,,NA,,NA,FALSE,NA,NA,NA,117633,Mopalia muscosa,,Mopalia,muscosa,,accepted
Muggiaea sp.,Busch,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Calycophorae,,Diphyidae,Diphyinae,,,,genus not in CDC records,,,Muggiaea,,NA,,NA,FALSE,NA,NA,NA,201710,Muggiaea,,Muggiaea,,,accepted
Munidon parvum / pseudione,Richardson,Animalia,Arthropoda,Crustacea,Multicrustacea?,Malacostraca?,Eumalacostraca?,,,,,,,,,,genus not in CDC records,,,Minidion parvum; Pseudione,,NA,,NA,FALSE,NA,NA,NA,0,,,,,,unknown
Muscari botryoides,(L.) Mill.,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,Hyacintheae,,,unlisted,,,Muscari botryoides,56134,NA,,NA,FALSE,NA,NA,NA,56134,Muscari botryoides,,Muscari,botryoides,,accepted
Mustela erminea,L.,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,,,S5 (Feb 2015); S5 (2015),,,Mustela erminea,41808,s5,,NA,FALSE,yellow,NA,NA,41808,Mustela erminea,,Mustela,erminea,,accepted
Mya truncata,L.,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Myoidea,Myidae,Myinae,,,,genus not in CDC records,,,Mya truncata,,NA,,NA,FALSE,NA,NA,NA,447416,Mya truncata,,Mya,truncata,,accepted
Myathropa florea,L.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,Eristalini,,,not in CDC records,,,Myathropa florea,70211,NA,,NA,FALSE,NA,NA,NA,70211,Myathropa florea,Cyclorrhapha,Myathropa,florea,,accepted
Myodes gapperi ssp. occidentalis,Merriam,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,,,S1,,,Clethrionomys gapperi occidentalis,,s1,,NA,FALSE,red,NA,NA,1431805,Clethrionomys gapperi occidentalis,,Clethrionomys,gapperi,Clethrionomys gapperi occidentalis,unaccepted
Mytilus californianus,Conrad,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Mytilinae,,,,genus not in CDC records,,,Mytilus californianus,62806,NA,,NA,FALSE,NA,NA,NA,62806,Mytilus californianus,,Mytilus,californianus,,accepted
Myxicola aesthetica ssp. petite,Claparède,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,,not in CDC records,,,Myxicola aesthetica,,NA,,NA,FALSE,NA,NA,NA,0,,,,,,unknown
Nanomia bijuga,Delle Chiaje,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Physonectae,,Agalmatidae,,,,,genus not in CDC records,,,Nanomia bijuga,506580,NA,,NA,FALSE,NA,NA,NA,506580,Nanomia bijuga,,Nanomia,bijuga,,accepted
Nebria sahlbergii ssp. sahlbergii,Fischer von Waldheim,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Nebriinae,Nebriini,,,S4S5 (2017) the species level,,,Nebria sahlbergii sahlbergii,,s4s5,,NA,FALSE,yellow,NA,NA,622370,Nebria sahlbergii sahlbergii,,Nebria,sahlbergii,Nebria sahlbergii sahlbergii,accepted
Nemophila menziesii,Hook. & Arn.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Hydrophylloideae,,,,not in CDC records; unlisted,,,Nemophila menziesii,50648,NA,,NA,FALSE,NA,NA,NA,50648,Nemophila menziesii,,Nemophila,menziesii,,accepted
Neoagarum fimbriatum,(Harvey) H.Kawai & T.Hanyuda,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Agaraceae,,,,,not in CDC records,,,Neoagarum fimbriatum,,NA,,NA,FALSE,NA,NA,NA,895193,Neoagarum fimbriatum,,Neoagarum,fimbriatum,,accepted
Neomolgus littoralis,L.,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Trombidiformes,Prostigmata,Bdelloidea,Bdellidae,Odontoscirinae,,,,SNR,,,Neomolgus littoralis,120956,snr,,NA,FALSE,not-listed,NA,NA,120956,Neomolgus littoralis,Eupodina,Neomolgus,littoralis,,accepted
Neoturris breviconis,Murbach & Shearer,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Pandeidae,,,,,genus not in CDC records,,,Neoturris breviconis,491131,NA,,NA,FALSE,NA,NA,NA,491131,Neoturris breviconis,,Neoturris,breviconis,,accepted
Nereis vexillosa,Grube,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,,,not in CDC records,,,Nereis vexillosa,81790,NA,,NA,FALSE,NA,NA,NA,81790,Nereis vexillosa,,Nereis,vexillosa,,accepted
Nerodia sipedon,L.,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,,,not in CDC records,,,Nerodia sipedon,,NA,,NA,FALSE,NA,NA,NA,29305,Nerodia sipedon,,Nerodia,sipedon,,accepted
Nyctibora sp.,Burmeister,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Blattodea,,Blaberoidea,Nyctiboridae,,,,,genus not in CDC records,,,Nyctibora,,NA,,NA,FALSE,NA,NA,NA,132139,Nyctibora,,Nyctibora,,,accepted
Nymphon pixellae,Scott,Animalia,Arthropoda,Chelicerata,,Pycnogonida,,,Pantopoda,Eupantopodida,Nymphonoidea,Nymphonidae,,,,,genus not in CDC records,,,Nymphon pixellae,271016,NA,,NA,FALSE,NA,NA,NA,271016,Nymphon pixellae,,Nymphon,pixellae,,accepted
Obelia spp.,"Peron and Lesueur,",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,,,genus not in CDC records,,,Obelia,,NA,,NA,FALSE,NA,NA,NA,49536,Obelia,,Obelia,,,accepted
Oceanapia sp.,Norman,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Phloeodictyidae,,,,,genus not in CDC records,,,Oceanapia,,NA,,NA,FALSE,NA,NA,NA,57739,Oceanapia,,Oceanapia,,,accepted
Odonthalia floccosa,(Esper) Falkenberg,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Rhodomelaceae,,Rhodomeleae,,,not in CDC records,,,Odonthalia floccosa,322180,NA,,NA,FALSE,NA,NA,NA,322180,Odonthalia floccosa,,Odonthalia,floccosa,,accepted
Odontocolon polymorphum,Cushman,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Ichneumonoidea,Ichneumonidae,Xoridinae,,,,not in CDC records,,,Odontocolon polymorphum,,NA,,NA,FALSE,NA,NA,NA,735446,Odontocolon polymorphum,,Odontocolon,polymorphum,,accepted
Oedoparena glauca,Coquillet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Sciomyzoidea,Dryomyzidae,,,,,not in CDC records,,,Oedoparena glauca,490559,NA,,NA,FALSE,NA,NA,NA,490559,Oedoparena glauca,Cyclorrhapha,Oedoparena,glauca,,accepted
Oidaematophorus stramineus,Walsingham,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pterophoridae,Pterophoridae,Pterophorinae,,,,genus is in CDC records,,,Hellinsia stramineus,,NA,,NA,FALSE,NA,NA,NA,0,,,,,,unknown
Onchidoris muricata,O. F. Müller,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,,genus not in CDC records,,,Onchidoris muricata,,NA,,NA,FALSE,NA,NA,NA,47508,Onchidoris muricata,Doridoidei,Onchidoris,muricata,,accepted
Opalia borealis,Gould,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,Epitonioidea,Epitoniidae,,,,,genus not in CDC records,,,Opalia wroblewskyi,,NA,,NA,FALSE,NA,NA,NA,129924,Opalia wroblewskyi,,Opalia,wroblewskyi,,unaccepted
Ophiopholis aculeata,L.,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,Ophiactoidea,Ophiopholidae,,,,,genus not in CDC records,,,Ophiopholis aculeata,,NA,,NA,FALSE,NA,NA,NA,56685,Ophiopholis aculeata,,Ophiopholis,aculeata,,accepted
Opuntiella californica,(Farlow) Kylin,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Furcellariaceae,,,,,,,,Opuntiella californica,,NA,,NA,FALSE,NA,NA,NA,349218,Opuntiella californica,,Opuntiella,californica,,accepted
Orienthella trilineata,O'Donoghue,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Aeolidina,Fionoidea,Coryphellidae,,,,,genus not in CDC records,,,Orienthella trilineata,764704,NA,,NA,FALSE,NA,NA,NA,764704,Orienthella trilineata,,Orienthella,trilineata,,accepted
