"scientificName","taxonID","institutionCode","collectionCode","catalogNumber","occurrenceID","materialSampleID","references","recordedBy","recordNumber","gbifID","fieldNumber","eventDate","locality","coordinateUncertaintyInMeters","habitat","verbatimDepth","samplingProtocol","occurrenceRemarks","individualCount","identifiedBy","iNaturalistTaxonId","iNaturalistTaxonName","decimalLatitude","decimalLongitude","dataset"
Coscinodiscus wailesii,549788,iNaturalist,,44891483,https://www.inaturalist.org/observations/44891483,,,"Mark Webber",,,,2019-11-24,,,,,,,,,549788,Coscinodiscus wailesii,48.994531,-123.585062,1
Coscinodiscus wailesii,549788,iNaturalist,,44895228,https://www.inaturalist.org/observations/44895228,,,"Mark Webber",,,,2019-11-24,,,,,,,,,549788,Coscinodiscus wailesii,48.994717,-123.584773,1
Cyclotella litoralis,1569671,,,,GBB2023-001-03-rbcL:ASV522,GBB23-001-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,1569671,Cyclotella litoralis,48.940726,-123.501877,2
Cyclotella litoralis,1569671,,,,GBB2023-006-03-rbcL:ASV522,GBB23-006-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Costaria costata",-4.3 m,,,,,1569671,Cyclotella litoralis,48.940726,-123.501877,2
Cyclotella litoralis,1569671,,,,GBB2023-008-03-rbcL:ASV522,GBB23-008-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Sarcodiotheca gaudichaudii",-2.8 m,,,,,1569671,Cyclotella litoralis,48.940726,-123.501877,2
Cyclotella litoralis,1569671,,,,GBB2023-009-03-rbcL:ASV522,GBB23-009-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"on sand casting of a moon snail",-4.3 m,,,,,1569671,Cyclotella litoralis,48.940726,-123.501877,2
Cyclotella litoralis,1569671,,,,GBB2023-011-03-rbcL:ASV522,GBB23-011-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,1569671,Cyclotella litoralis,48.940726,-123.501877,2
Cyclotella litoralis,1569671,,,,GBB2023-018-03-rbcL:ASV522,GBB23-018-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Polyneura latissima",-4.3 m,,,,,1569671,Cyclotella litoralis,48.940726,-123.501877,2
Cyclotella litoralis,1569671,,,,GBB2023-019-03-rbcL:ASV522,GBB23-019-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,1569671,Cyclotella litoralis,48.940726,-123.501877,2
Cyclotella litoralis,1569671,,,,GBB2023-022-03-rbcL:ASV522,GBB23-022-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,1569671,Cyclotella litoralis,48.940726,-123.501877,2
Cyclotella litoralis,1569671,,,,GBB2023-027-03-rbcL:ASV522,GBB23-027-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ulva expansa",-3.7 m,,,,,1569671,Cyclotella litoralis,48.940726,-123.501877,2
Cyclotella litoralis,1569671,,,,GBB2023-124-03-rbcL:ASV522,GBB23-124-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Ulva sp.",,,,,,1569671,Cyclotella litoralis,48.995588,-123.586078,2
Cyclotella litoralis,1569671,,,,GBB2023-161-03-rbcL:ASV522,GBB23-161-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Sarcodiotheca furcata",-13 m,,,,,1569671,Cyclotella litoralis,48.995588,-123.586078,2
Cyclotella litoralis,1569671,,,,GBB2023-172-03-rbcL:ASV522,GBB23-172-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on unknown",,,,,,1569671,Cyclotella litoralis,48.995588,-123.586078,2
Cyclotella litoralis,1569671,,,,GBB2023-173-03-rbcL:ASV522,GBB23-173-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Zostera marina",,,,,,1569671,Cyclotella litoralis,48.995588,-123.586078,2
Cyclotella litoralis,1569671,iNaturalist,,49991081,https://www.inaturalist.org/observations/49991081,,,"Mark Webber",,,,2006-01-24,,,,,,,,,1569671,Cyclotella litoralis,48.994528,-123.58482,1
Cylindrotheca closterium,203739,,,,GBB2023-001-03-rbcL:ASV93,GBB23-001-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-006-03-rbcL:ASV93,GBB23-006-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Costaria costata",-4.3 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-008-03-rbcL:ASV93,GBB23-008-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Sarcodiotheca gaudichaudii",-2.8 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-009-03-rbcL:ASV93,GBB23-009-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"on sand casting of a moon snail",-4.3 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-011-03-rbcL:ASV93,GBB23-011-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-018-03-rbcL:ASV93,GBB23-018-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Polyneura latissima",-4.3 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-019-03-rbcL:ASV93,GBB23-019-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-022-03-rbcL:ASV93,GBB23-022-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-027-03-rbcL:ASV93,GBB23-027-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ulva expansa",-3.7 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-124-03-rbcL:ASV93,GBB23-124-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Ulva sp.",,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,,,,GBB2023-161-03-rbcL:ASV93,GBB23-161-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Sarcodiotheca furcata",-13 m,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,,,,GBB2023-172-03-rbcL:ASV93,GBB23-172-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on unknown",,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,,,,GBB2023-173-03-rbcL:ASV93,GBB23-173-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Zostera marina",,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,,,,GBB2023-001-03-rbcL:ASV298,GBB23-001-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-006-03-rbcL:ASV298,GBB23-006-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Costaria costata",-4.3 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-008-03-rbcL:ASV298,GBB23-008-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Sarcodiotheca gaudichaudii",-2.8 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-009-03-rbcL:ASV298,GBB23-009-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"on sand casting of a moon snail",-4.3 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-011-03-rbcL:ASV298,GBB23-011-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-018-03-rbcL:ASV298,GBB23-018-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Polyneura latissima",-4.3 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-019-03-rbcL:ASV298,GBB23-019-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-022-03-rbcL:ASV298,GBB23-022-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-027-03-rbcL:ASV298,GBB23-027-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ulva expansa",-3.7 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-124-03-rbcL:ASV298,GBB23-124-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Ulva sp.",,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,,,,GBB2023-161-03-rbcL:ASV298,GBB23-161-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Sarcodiotheca furcata",-13 m,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,,,,GBB2023-172-03-rbcL:ASV298,GBB23-172-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on unknown",,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,,,,GBB2023-173-03-rbcL:ASV298,GBB23-173-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Zostera marina",,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,,,,GBB2023-001-03-rbcL:ASV189,GBB23-001-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-006-03-rbcL:ASV189,GBB23-006-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Costaria costata",-4.3 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-008-03-rbcL:ASV189,GBB23-008-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Sarcodiotheca gaudichaudii",-2.8 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-009-03-rbcL:ASV189,GBB23-009-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"on sand casting of a moon snail",-4.3 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-011-03-rbcL:ASV189,GBB23-011-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-018-03-rbcL:ASV189,GBB23-018-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Polyneura latissima",-4.3 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-019-03-rbcL:ASV189,GBB23-019-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-022-03-rbcL:ASV189,GBB23-022-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Saccharina latissima",-3.7 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-027-03-rbcL:ASV189,GBB23-027-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ulva expansa",-3.7 m,,,,,203739,Cylindrotheca closterium,48.940726,-123.501877,2
Cylindrotheca closterium,203739,,,,GBB2023-124-03-rbcL:ASV189,GBB23-124-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Ulva sp.",,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,,,,GBB2023-161-03-rbcL:ASV189,GBB23-161-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Sarcodiotheca furcata",-13 m,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,,,,GBB2023-172-03-rbcL:ASV189,GBB23-172-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on unknown",,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,,,,GBB2023-173-03-rbcL:ASV189,GBB23-173-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-27,"Spanish Hills wharf",15,"epiphytic on Zostera marina",,,,,,203739,Cylindrotheca closterium,48.995588,-123.586078,2
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2021-07-27_5m_12,,,,,4880035911,,2021-07-27,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2017-07-11_1m_10,,,,,4880035748,,2017-07-11,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2017-10-11_1m_13,,,,,4880035716,,2017-10-11,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2021-12-14_5m_2,,,,,4880035532,,2021-12-14,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2017-05-17_1m_7,,,,,4880035530,,2017-05-17,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2019-08-15_5m_3,,,,,4880035521,,2019-08-15,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2017-11-16_1m_6,,,,,4880035416,,2017-11-16,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2021-03-26_5m_12,,,,,4880035331,,2021-03-26,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2016-05-19_1m_5,,,,,4880034932,,2016-05-19,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2018-06-18_1m_1,,,,,4880034850,,2018-06-18,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2021-06-28_5m_11,,,,,4880034834,,2021-06-28,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2017-02-17_1m_2,,,,,4880034783,,2017-02-17,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2017-07-17_1m_3,,,,,4880034644,,2017-07-17,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2020-05-14_5m_8,,,,,4880034635,,2020-05-14,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2018-08-09_1m_5,,,,,4880034614,,2018-08-09,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2017-09-05_1m_12,,,,,4880034577,,2017-09-05,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2017-10-03_1m_4,,,,,4880034569,,2017-10-03,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
Cylindrotheca closterium,203739,Hakai,,,Hakai_phyto_QU39_2020-06-17_5m_2,,,,,4880034469,,2020-06-17,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,203739,Cylindrotheca closterium,50.0307,-125.0992,
