Taxon,Author,Author of Sub Species or Variety,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,,,,
Gaultheria ovatifolia,A. Gray,,slender wintergreen,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,native,S4 (2015)  ,confirmed,documented,1978-06-18,Ron Long,RBRM,V104187,2014-06-22,judithofsquamish,https://www.inaturalist.org/observations/6158093,https://static.inaturalist.org/photos/7721310/medium.jpeg?1494392888,,77228,,,,,
Gaultheria shallon,Pursh,,salal,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,native,S5 (2015),confirmed,documented,1949-07-24,Vladimir J. Krajina,UBC,UBC: V75571,2015-05-30,judithofsquamish,http://www.inaturalist.org/observations/4385628,https://static.inaturalist.org/photos/5262373/medium.jpeg?1476811300,,48441,,,,,
Gentiana sceptrum,Griseb.,,king's scepter gentian,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Gentianaceae,,native,S5 (2000),confirmed,documented,1931-08-17,Jas kap,UBC,UBC: V45174,2018-08-18,citizen1,https://www.inaturalist.org/observations/15731103,https://static.inaturalist.org/photos/23488258/medium.jpg?1534790574,,77244,,,,,
Geranium carolinianum,L.,,Carolina crane's-bill,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,native,S5 (2015),reported,undocumented,1913-11-02,Fred Perry,UBC,UBC: V45195,,,,,,58917,,,,,
Geranium dissectum ,L.,,cut-leaved crane's-bill,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,exotic,SNA (2001),reported,undocumented,0000-00-00,J.K. Henry ,UBC,UBC: V17279,,,,,,53075,,,,,
Geranium molle,L.,,dove's-foot crane's-bill,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,exotic,SNA (2001),confirmed,documented,1958-06-22,W.M. Bird,UBC,UBC: V80102,2019-03-30,benkeen,https://www.inaturalist.org/observations/21806453,https://static.inaturalist.org/photos/33779082/medium.jpg?1553992782,,53076,,,,,
Geranium robertianum,L.,,herb Robert,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,exotic,SNA (2001),confirmed,documented,2002-05-23,Helen Kennedy,UBC,UBC: V219764,2017-05-31,sea2skynaturebc,http://inaturalist.ca/observations/6444698,https://static.inaturalist.org/photos/8142506/medium.jpg?1496247292,,55925,,,,,
Geranium rotundifolium,L.,,round-leaved crane's-bill,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,exotic,not in CDC records,new 2019,documented,,,,,2019-05-26,benkeen,https://www.inaturalist.org/observations/25829411,https://static.inaturalist.org/photos/40047664/medium.jpeg?1558901796,,77261,,,,,
Geum calthifolium ,Menzies ex Sm.,,calthaleaf avens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,native,S4 (2015),reported,undocumented,1915-08-17,F. Perry ,UBC,UBC: V33345,,,,,,163269,,,,,
Geum macrophyllum,Willd.,,large-leaved avens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,native,S5 (2000),new 2017,documented,,,,,2017-05-05,chlorophilia,https://www.inaturalist.org/observations/6113042,https://static.inaturalist.org/photos/7647747/medium.jpeg?1494086106,,77266,,,,,
Glechoma hederacea,L.,,ground-ivy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,exotic,SNA (2001),new 2017,documented,,,,,2017-07-01,alicia49,https://www.inaturalist.org/observations/6948628,https://static.inaturalist.org/photos/8882114/medium.jpeg?1499387219,,55830,,,,,
Glyceria striata ,(Lam.) Hitchc.,,fowl mannagrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,native,S5 (2000),reported,undocumented,1977-08-05,Chris J. Clement,RBCM,V110648,,,,,,77293,,,,,
Gnaphalium uliginosum,L.,,marsh cudweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001) ,new 2018,documented,,,,,2018-09-15,benkeen,https://www.inaturalist.org/observations/16564633,https://static.inaturalist.org/photos/24945715/medium.jpg?1537043756,,136366,,,,,
Goodyera oblongifolia,Raf.,,western rattlesnake plantain,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,native,S5 (2015),new 2014,documented,,,,,2014-06-03,judithofsquamish,https://www.inaturalist.org/observations/6160897,https://static.inaturalist.org/photos/7724920/medium.jpeg?1494431777,,50719,,,,,
Grindelia hirsutula ,Hook. & Arn.,,Oregon gumplant,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S3S4 (2015) ,reported,undocumented,1958-06-22,W.M. Bird,UBC,UBC: V80086, ,,,,,61992,,,,,
Grindelia integrifolia,DC.,,gumweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015),new 2018,documented,,,,,2005-06-22,gwenlh,https://www.inaturalist.org/observations/22207047,https://static.inaturalist.org/photos/34384925/medium.jpg?1554754298,,124526,,,,,
Grindelia stricta ,DC.,,Oregon gumplant,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015),confirmed,documented,1977-08-02,,RBCM,V111884,2018-09-23,benkeen,https://www.inaturalist.org/observations/16844458,https://static.inaturalist.org/photos/25433172/medium.jpg?1537731086,Herbarium record Grindelia stricta DC. var. stricta,61992,,,,,
Gymnocarpium dryopteris,(L.) Newman,,northern oak fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,,,Cystopteridaceae,,native,S5 (2015),confirmed,documented,1987-08-01,Tom C. Wells ,UBC,UBC: V194583,2016-07-10,judithofsquamish,http://www.inaturalist.org/observations/4390078,https://static.inaturalist.org/photos/5267658/medium.jpeg?1476847886,,82572,,,,,
Hedera helix,L.,,common ivy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Araliaceae,,native,SNA (2000),new 2018,documented,,,,,2018-08-30,benkeen,https://www.inaturalist.org/observations/16055242,https://static.inaturalist.org/photos/24037343/medium.jpg?1535673571,,55882,,,,,
Hemitomes congestum,A. Gray,,gnome plant,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Monotropoideae,native,S3S4 (2015),new 2013,documented,,,,,2013-07-16,hillanddale,https://www.inaturalist.org/observations/8494399,https://static.inaturalist.org/photos/11330668/medium.jpg?1508617614,,54663,,,,,
Heracleum maximum,W. Bartram,,common cowparsnip,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,native,S5 (2015),new 2017,documented,,,,,2017-06-09,sea2skynaturebc,http://inaturalist.ca/observations/6564669,https://static.inaturalist.org/photos/8326521/medium.jpg?1497039790,,53094,,,,,
Hesperis matronalis,L.,,dame's rocket,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2001),new 2016,documented,,,,,2016-05-08,hillanddale,https://www.inaturalist.org/observations/9531065,https://static.inaturalist.org/photos/12997484/medium.jpg?1516396419,,47697,,,,,
Heuchera micrantha diversifolia,Douglas ex Lindl.,,crevice alumroot,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S4 (2015),confirmed,documented,1974-06-03,Bruce A. Bohm ,UBC,UBC: V149163,2019-05-19,gwenlh,https://www.inaturalist.org/observations/25716722,https://static.inaturalist.org/photos/39863363/medium.jpg?1558762657,,51344,,,,,
Hieracium albiflorum,Hook.,,white hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,native,S5 (2015),confirmed,documented,1974-06-00,Charles E. Beil,UBC,UBC: V176090,2018-07-12,judithofsquamish,https://www.inaturalist.org/observations/14556870,https://static.inaturalist.org/photos/21686244/medium.jpeg?1532130854,,63937,,,,,
Hieracium atratum ,Fr.,,polar hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,not in CDC records,reported,undocumented,1989-06-01,Frank Lomer,UBC,UBC: V200111,,,,,"not in iNaturalist, FNA, NatureServe but is in I.T.I.S.",0,,,,,
Hieracium maculatum,Sm.,,spotted hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2000),new 2018,documented,,,,,2018-05-20,gwenlh,https://www.inaturalist.org/observations/12681715,https://static.inaturalist.org/photos/18356624/medium.jpg?1526923056,,163791,,,,,
Holcus lanatus,L.,,Yorkshire fog,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,exotic,SNA (2000),new 2018,documented,,,,,2018-05-21,judithofsquamish,https://www.inaturalist.org/observations/12708902,https://static.inaturalist.org/photos/18402429/medium.jpeg?1527002049,,52793,,,,,
Holodiscus discolor,(Pursh) Maxim.,,ocean spray,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,native,S5 (2015),new 2013,documented,,,,,2013-07-16,hillanddale,https://www.inaturalist.org/observations/9513603,https://static.inaturalist.org/photos/12967130/medium.jpg?1516238787,,53414,,,,,
Honckenya peploides,(L.) Ehrh.,,sea sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2000),new 2018,documented,,,,,2018-05-12,judithofsquamish,https://www.inaturalist.org/observations/12437330,https://static.inaturalist.org/photos/17937195/medium.jpeg?1526263583,,129446,,,,,
Hordeum brachyantherum,Nevski,,meadow barley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,native,S5 (2000) ,confirmed,documented,1916-06-22,,RBCM,V000615,2015-07-09,judithofsquamish,http://www.inaturalist.org/observations/4390161,https://static.inaturalist.org/photos/5267830/medium.jpeg?1476849411,,57173,,,,,
Hordeum murinum ,L.,,wall barley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,exotic,SNA (2000) ,reported,undocumented,2006-05-27,Jeffery M. Saarela ,UBC,UBC: V228358,,,,,,52796,,,,,
Hordeum murinum subsp. murinum ,L.,,hare barley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,exotic,SNA (2000) ,reported,undocumented,2001-05-29,Frank Lomer,UBC,UBC: V235041,,,,,,63333,,,,,
Huperzia continentalis,"Testo, A. Haines & A.V. Gilman",,Alpine firmoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Huperzioideae,native,S4? (2015) ,new 2018,documented,,,,,2018-07-03,judithofsquamish,https://www.inaturalist.org/observations/14171019,https://static.inaturalist.org/photos/21009710/medium.jpeg?1531070089,,531603,,,,,
Huperzia miyoshiana ,(Makino) Ching,,none,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Huperzioideae,native,S4? (2015) ,reported,undocumented,1974-06-07,Charles E. Beil,UBC,UBC: V176177,,,,,,179422,,,,,
Huperzia occidentalis ,(Clute) Kartesz & Gandhi,,Pacific clubmoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Huperzioideae,native,S4 (2004),reported,undocumented,1977-08-06, ,RBCM,V110320,,,,,,143696,,,,,
Hyacinthoides sp.,(Mill.) Rothm.,,Bluebells,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,genus is in CDC records,new 2019,documented,,,,,2019-05-02,benkeen,https://www.inaturalist.org/observations/24412556,https://static.inaturalist.org/photos/37749638/medium.jpg?1556847356,,56095,,,,,
Hypericum anagalloides,Cham. & Schltdl.,,bog St. John's-wort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,native,S4 (2015) ,new 2018,documented,,,,,2018-09-23,benkeen,https://www.inaturalist.org/observations/16857672,https://static.inaturalist.org/photos/25458079/medium.jpg?1537754304,,61032,,,,,
Hypericum androsaemum ,L.,,tutsan,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,exotic,SNA (2000),reported,undocumented,1991-08-03,Frank Lomer,UBC,UBC: V203934,,,,,,77480,,,,,
Hypericum calycinum,L.,,rose-of-sharon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,exotic,SNA (2012),new 2018,documented,,,,,2018-09-08,benkeen,https://www.inaturalist.org/observations/16328618,https://static.inaturalist.org/photos/24534542/medium.jpg?1536434944,,77481,,,,,
Hypericum perforatum,L.,,common St. John's-wort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,exotic,SNA (2001),new 2018,documented,,,,,2018-07-12,judithofsquamish,https://www.inaturalist.org/observations/14556914,https://static.inaturalist.org/photos/21686343/medium.jpeg?1532130999,,56077,,,,,
Hypochaeris radicata,L.,,common cat's-ear,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2001),new 2018,documented,,,,,2018-06-03,judithofsquamish,https://www.inaturalist.org/observations/13095067,https://static.inaturalist.org/photos/19079094/medium.jpeg?1528067665,,53104,,,,,
Ilex aquifolium,L.,,European holly,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Aquifoliales,,,Aquifoliaceae,,exotic,SNA (2001),confirmed,documented,,,,,2018-08-30,benkeen,https://www.inaturalist.org/observations/16058359,https://static.inaturalist.org/photos/24043614/medium.jpg?1535681694,,53856,,,,,
Impatiens capensis,Meerb.,,spotted jewelweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Balsaminaceae,,exotic,SNA (2018),new 2018,documented,,,,,2018-06-28,carl1986,https://www.inaturalist.org/observations/13945786,https://static.inaturalist.org/photos/20611425/medium.jpg?1530455723,,47888,,,,,
Impatiens glandulifera,Royle ,,Himalayan balsam,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Balsaminaceae,,exotic,SNA (2001),new 2016,documented,,,,,2016-07-02,hillanddale,https://www.inaturalist.org/observations/9532556,https://static.inaturalist.org/photos/13000230/medium.jpeg?1516403681,,47892,,,,,
Impatiens parviflora,DC.,,small balsam,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Balsaminaceae,,exotic,SNA (2019),new 2016,documented,,,,,2016-05-21,judithofsquamish,https://www.inaturalist.org/observations/22489581,https://static.inaturalist.org/photos/34839326/medium.jpeg?1555283368,,51736,,,,,
Iris pseudacorus,L.,,yellow iris,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,exotic,SNA (2001),new 2018,documented,,,,,2018-09-20,keeganjd,https://www.inaturalist.org/observations/16718236,https://static.inaturalist.org/photos/25224661/medium.jpg?1537457239,,47779,,,,,
Isolepis cernua,(Vahl) Roem. & Schult.,,slender clubrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,native,S5 (2001),new 2018,documented,,,,,2015-06-26,judithofsquamish,https://www.inaturalist.org/observations/9974123,https://static.inaturalist.org/photos/13704170/medium.jpeg?1519444471,,60257,,,,,
Jacobaea vulgaris,Gaertn.,,ragwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001),new 2018,documented,,,,,2018-09-16,benkeen,https://www.inaturalist.org/observations/16605277,https://static.inaturalist.org/photos/25019515/medium.jpg?1537134853,,62498,,,,,
Juglans regia,L.,,Persian walnut,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Juglandaceae,,exotic,SNA ,reported,undocumented,1978-08-15,John Pinder-Moss,UBC,UBC: V166524,,,,,,63935,,,,,
Juncus acuminatus ,Michx.,,tapered rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S4 (2001) ,reported,undocumented,1940-08-07,John W. Eastham,RBCM,V013462,,,,,,77549,,,,,
Juncus articulatus,L.,,jointed rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2019),reported,undocumented,1943-09-05,,RBCM,V016468,,,,,,77552,,,,,
Juncus balticus,Willd.,,Baltic rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015),new 2015,documented,,,,,2015-05-20,judithofsquamish,http://www.inaturalist.org/observations/4390183,https://static.inaturalist.org/photos/5267861/medium.jpeg?1476849835,,58347,,,,,
Juncus bufonius ,L.,,toad rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2017),reported,undocumented,1903-06-29,James Fowler,,V085755,,,,,,57107,,,,,
Juncus conglomeratus ,L.,,compact rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,exotic,SNA (2000),reported,undocumented,2007-11-13,P. F. Zika ,CIC,CIC: 41809,,,,,,204335,,,,,
Juncus drummondii,E. Mey.,,Drummond's rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 ,confirmed,documented,1914-08-22,John Davidson,UBC,UBC: V22132,2017-09-26,judithofsquamish,https://www.inaturalist.org/observations/8198379,https://static.inaturalist.org/photos/10859393/medium.jpeg?1506830432,,77565,,,,,
Juncus effusus,L.,,soft rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015) ,confirmed,documented,1941-09-06,,RBCM,V014143,2015-06-05,judithofsquamish,http://www.inaturalist.org/observations/4390234,https://static.inaturalist.org/photos/5267961/medium.jpeg?1476850790,,56153,,,,,
Juncus ensifolius,Wikstr. ,,dagger rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015),confirmed,documented,1943-07-17,,RBCM,V016413,2015-06-07,judithofsquamish,http://www.inaturalist.org/observations/4390265,https://static.inaturalist.org/photos/5268032/medium.jpeg?1476851486,,77569,,,,,
Juncus filiformis,L.,,thread rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2019),confirmed,documented,1941-06-09,,RBCM,V014150,2019-06-22,citizen1,https://www.inaturalist.org/observations/27594650,https://static.inaturalist.org/photos/42950843/medium.jpg?1561413509,,164262,,,,,
Juncus mertensianus,Bong.,,Mertens' rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015) ,new 2017,documented,,,,,2017-09-26,judithofsquamish,https://www.inaturalist.org/observations/8216251,https://static.inaturalist.org/photos/10889467/medium.jpeg?1506917934,,77584,,,,,
Juncus parryi,Engelm.,,Parry's rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2019),reported,undocumented,1938-07-09,,RBCM,V012280B,,,,,,77589,,,,,
Juncus supiniformis ,Engelm.,,spreading rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2019)   ,reported,undocumented,1941-09-06,,RBCM,V014145A,,,,,,77594,,,,,
Juncus tenuis,Willd.,,slender path rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015),new 2018,documented,,,,,2018-10-06,judithofsquamish,https://www.inaturalist.org/observations/17954329,https://static.inaturalist.org/photos/27436405/medium.jpeg?1540875235,,69930,,,,,
Juniperus communis,Willd.,,common juniper,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Cupressaceae,,native,S5 (2017) ,new 2015,documented,,,,,2018-10-09,judithofsquamish,https://www.inaturalist.org/observations/18003121,https://static.inaturalist.org/photos/27521682/medium.jpeg?1541049360,,58725,,,,,
Kalmia microphylla,(Hook.) A. Heller,,Western bog laurel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,native,S4 (2001) ,new 2015,documented,,,,,2015-05-23,judithofsquamish,https://www.inaturalist.org/observations/5999820,https://static.inaturalist.org/photos/7503676/medium.jpeg?1493417830,,67810,,,,,
Kopsiopsis hookeri,(Walp.) Govaerts,,small ground-cone,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S4 (2015),confirmed,documented,2001-06-05,Frank Lomer,UBC,UBC: V235042,2012-06-17,judithofsquamish,https://www.inaturalist.org/observations/6040661,https://static.inaturalist.org/photos/7567347/medium.jpeg?1493667593,,77611,,,,,
Lamium galeobdolon,(L.) Crantz,,yellow archangel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,exotic,SNA (2007),new 2018,documented,,,,,2018-09-20,benkeen,https://www.inaturalist.org/observations/16736221,https://static.inaturalist.org/photos/25256154/medium.jpg?1537493899,,204339,,,,,
Lamium purpureum,L.,,red deadnettle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,exotic,SNA (2000),new 2018,documented,,,,,2018-11-18,benkeen,https://www.inaturalist.org/observations/18481970,https://static.inaturalist.org/photos/28262238/medium.jpg?1542576779,,55851,,,,,
Lapsana communis,L.,,nipplewort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2001),new 2015,documented,,,,,2015-06-09,hillanddale,https://www.inaturalist.org/observations/9530719,https://static.inaturalist.org/photos/12996841/medium.jpeg?1516394153,,55981,,,,,
Lathyrus japonicus,Willd.,,seaside pea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,native,S4 (2015),confirmed,documented,1913-06-15,F. Perry,UBC,UBC: V23677,2017-06-12,judithofsquamish,https://www.inaturalist.org/observations/9106602,https://static.inaturalist.org/photos/12302943/medium.jpeg?1512878197,,77638,,,,,
Lathyrus latifolius,L.,,broad-leaved sweet pea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,exotic,SNA (2019),new 2019,documented,,,,,2019-07-11,benkeen,https://www.inaturalist.org/observations/28651432,https://static.inaturalist.org/photos/44677999/medium.jpeg?1562897598,,61009,,,,,
Lathyrus nevadensis ,S. Watson,,Sierra Nevada peavine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,native,S5 (2000),reported,undocumented,1913-06-01,W. Taylor,UBC,UBC: V23664,,,,,,77640,,,,,
Lathyrus palustris,L.,,marsh pea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,native,S3S4 (2015),new 2015,documented,,,,,2015-05-21,judithofsquamish,https://www.inaturalist.org/observations/9106752,https://static.inaturalist.org/photos/12303200/medium.jpg?1512879221,,77642,,,,,
Lathyrus sylvestris,L.,,narrow-leaved everlasting-pea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,exotic,SNA (2019),new 2019,documented,,,,,2019-08-11,benkeen,https://www.inaturalist.org/observations/30648550,https://static.inaturalist.org/photos/47893051/medium.jpeg?1565563671,,82740,,,,,
Lemna minor,"L,",,common duckweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Lemnoideae,native,S5 (2019) ,new 2019,documented,,,,,2019-12-28,benkeen,https://www.inaturalist.org/observations/37048511,https://static.inaturalist.org/photos/58667515/medium.jpeg?1577581758,,54518,,,,,
Lepidium campestre,(L.) W.T. Aiton,,field peppergrass,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),new 2019,documented,,,,,2019-06-29,benkeen,https://www.inaturalist.org/observations/27890320,https://static.inaturalist.org/photos/43439004/medium.jpeg?1561840512,,77663,,,,,
Leptarrhena pyrolifolia,(D. Don) R. Br. ex Ser. ,,leather-leaf saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S5 (2015),new 2017,documented,,,,,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/6939927,https://static.inaturalist.org/photos/8868381/medium.jpeg?1499316202,,128870,,,,,
Leucanthemum vulgare,Lam.,,oxeye daisy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001) ,new 2017,documented,,,,,2017-06-25,judithofsquamish,https://www.inaturalist.org/observations/6798009,https://static.inaturalist.org/photos/8647219/medium.jpeg?1498428698,,56057,,,,,
Leymus mollis,(Trin.) Pilg.,,American dune grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,native,S4S5 (2015),new 2018,documented,,,,,2018-09-07,judithofsquamish,https://www.inaturalist.org/observations/16359520,https://static.inaturalist.org/photos/24594224/medium.jpeg?1536514741,,61067,,,,,
Ligustrum vulgare,L.,,common privet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Oleaceae,,exotic,SNA (2001) ,new 2018,documented,,,,,2018-09-26,benkeen,https://www.inaturalist.org/observations/16953216,https://static.inaturalist.org/photos/25624476/medium.jpg?1538015028,,119805,,,,,
Lilaeopsis occidentalis,J.M. Coult. & Rose,,western grasswort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,native,S4 (2015),confirmed,documented,1980-01-01,,RBCM,V199575,2018-07-16,judithofsquamish,https://www.inaturalist.org/observations/14463274,https://static.inaturalist.org/photos/21525578/medium.jpeg?1531872711,,77742,,,,,
Lilium columbianum,Leichtlin,,Columbia lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,native,S5 (2015) ,confirmed,documented,1924-05-31,T.R. Ashlee,UBC,UBC: V223468,2018-05-29,judithofsquamish,https://www.inaturalist.org/observations/13099371,https://static.inaturalist.org/photos/19087328/medium.jpeg?1528075750,,77744,,,,,
Limosella aquatica,L.,,water mudwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S4 (2015),new 2018,documented,,,,,2018-07-14,judithofsquamish,https://www.inaturalist.org/observations/14398709,https://static.inaturalist.org/photos/21414739/medium.jpeg?1531697780,,59016,,,,,
Linaria purpurea,(L.) Mill.,,purple toadflax,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001) ,new 2018,documented,,,,,2018-09-06,benkeen,https://www.inaturalist.org/observations/16276507,https://static.inaturalist.org/photos/24440916/medium.jpg?1536286453,,77778,,,,,
