iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Accession Number,iNaturalist Observation Link,iNaturalist Obs Photo Link,Notes,Critical Notes,Common name
Irpex lacteus,130910,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Irpicaceae,,,Irpex,Irpex lacteus,Irpex lacteus,,no status,new 2019,,,SQUAMISH,2019-03-12,benkeen,,https://www.inaturalist.org/observations/21194746,https://static.inaturalist.org/photos/32761291/medium.jpg?1552446890,,,milk-white toothed polypore
Kretzschmaria deusta,128051,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,Xylariaceae,,,Kretzschmaria,Kretzschmaria deusta,Kretzschmaria deusta,,no status,new 2019,,,SQUAMISH,2019-03-31,benkeen,,https://www.inaturalist.org/observations/21858631,https://static.inaturalist.org/photos/33863150/medium.jpg?1554086195,,,brittle cinder
Laccaria amethysteo-occidentalis,54893,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Hydnangiaceae,,,Laccaria,Laccaria amethysteo-occidentalis,Laccaria amethysteo-occidentalis,,no status,new 2018,,,SQUAMISH,2018-11-15,judithofsquamish,,https://www.inaturalist.org/observations/18414919,https://static.inaturalist.org/photos/28149312/medium.jpg?1542314069,,,western amethyst laccaria
Laccaria laccata,63236,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Hydnangiaceae,,,Laccaria,Laccaria laccata,Laccaria laccata,,no status,new 2019,,,SQUAMISH,2019-08-24,kmfret,,https://www.inaturalist.org/observations/31807168,https://static.inaturalist.org/photos/49816048/medium.jpeg?1567191240,,,deceiver
Lacrymaria lacrymabunda,130934,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Psathyrellaceae,,,Lacrymaria,Lacrymaria lacrymabunda,Lacrymaria lacrymabunda,,no status,new 2019,,,SQUAMISH,2019-09-21,benkeen,,https://www.inaturalist.org/observations/33163957,https://static.inaturalist.org/photos/52063381/medium.jpeg?1569109057,,,weeping widow
Lactarius rubidus,55276,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,Lactarius,Lactarius rubidus,Lactarius rubidus,,not in CDC records,new 2018,,,SQUAMISH,2018-11-11,benkeen,,https://www.inaturalist.org/observations/18341077,https://static.inaturalist.org/photos/28028586/medium.jpg?1541983691,,,candy cap
Lactarius rufus,118223,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,Lactarius,Lactarius rufus,Lactarius rufus,,no status,new 2018,,,SQUAMISH,2018-11-24,judithofsquamish,,https://www.inaturalist.org/observations/18741430,https://static.inaturalist.org/photos/28697268/medium.jpeg?1543612411,,,rufous milkcap
Laetiporus conifericola,118057,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Laetiporaceae,,,Laetiporus,Laetiporus conifericola,Laetiporus conifericola,,no status,new 2017,,,SQUAMISH,2017-09-19,judithofsquamish,,https://www.inaturalist.org/observations/8080549,https://static.inaturalist.org/photos/10713587/medium.jpeg?1506300486,,,conifer chicken of the woods
Laetiporus gilbertsonii,120154,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Laetiporaceae,,,Laetiporus,Laetiporus gilbertsonii,Laetiporus gilbertsonii,,no status,new 2019,,,SQUAMISH,2019-09-02,jonahwho,,https://www.inaturalist.org/observations/32036436,https://static.inaturalist.org/photos/50206116/medium.jpeg?1567485599,,,western hardwood sulphur shelf
Lecanora thysanophora,182613,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,Lecanora thysanophora,Lecanora thysanophora,,not in CDC records,new 2019,,,SQUAMISH,2019-12-29,benkeen,,https://www.inaturalist.org/observations/37083307,https://static.inaturalist.org/photos/58729771/medium.jpeg?1577668843,,,mapledust lichen
Lepiota magnispora,194663,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,Lepiota,Lepiota magnispora,Lepiota magnispora,,no status,new 2019,,,SQUAMISH,2019-10-20,benkeen,,https://www.inaturalist.org/observations/34663642,https://static.inaturalist.org/photos/54580348/medium.jpeg?1571616197,,,none
Lepista nuda,351380,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,,,,Lepista,Lepista nuda,Lepista nuda,,no status,new 2018,,,SQUAMISH,2018-12-01,benkeen,,https://www.inaturalist.org/observations/18763265,https://static.inaturalist.org/photos/28733930/medium.jpg?1543701939,,,blewit
Lepraria finkii,463344,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,Lepraria,Lepraria finkii,Lepraria finkii,,not in CDC records,new 2019,,,SQUAMISH,2019-11-17,benkeen,,https://www.inaturalist.org/observations/35797981,https://static.inaturalist.org/photos/56493337/medium.jpeg?1574037225,,,fluffy dust lichen
Leucoagaricus leucothites,179125,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,Leucoagaricus,Leucoagaricus leucothites,Leucoagaricus leucothites,,no status,new 2019,,,SQUAMISH,2019-09-24,benkeen,,https://www.inaturalist.org/observations/33314281,https://static.inaturalist.org/photos/52316550/medium.jpeg?1569335302,,,white dapperling
Leucopaxillus albissimus,67351,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Tricholomatineae,,Tricholomataceae,,,Leucopaxillus,Leucopaxillus albissimus,Leucopaxillus albissimus,,no status,new 2018,,,SQUAMISH,2018-11-15,judithofsquamish,,https://www.inaturalist.org/observations/18440269,https://static.inaturalist.org/photos/28191361/medium.jpeg?1542421093,,,large white leucopax
Leucopaxillus gentianeus,67346,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Tricholomatineae,,Tricholomataceae,,,Leucopaxillus,Leucopaxillus gentianeus,Leucopaxillus gentianeus,,no status,new 2019,,,SQUAMISH,2019-08-25,jonahwho,,https://www.inaturalist.org/observations/31506606,https://static.inaturalist.org/photos/49314469/medium.jpeg?1566770182,,,bitter brown leucopax
Lichenomphalia umbellifera,118245,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Hygrophoraceae,,,Lichenomphalia,Lichenomphalia umbellifera,Lichenomphalia umbellifera,,no status,new 2015,,,SQUAMISH,2015-05-24,judithofsquamish,,https://www.inaturalist.org/observations/6017778,https://static.inaturalist.org/photos/7529999/medium.jpeg?1493519680,,,lichen agaric
Lobaria linita,224041,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,,Lobaria,Lobaria linita,Lobaria linita,Native,S5 (2018) ,new 2018,,,SQUAMISH,2018-07-10,judithofsquamish,,https://www.inaturalist.org/observations/14331024,https://static.inaturalist.org/photos/21292019/medium.jpeg?1531524822,,,cabbage lung lichen
Lobaria pulmonaria,48711,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,,Lobaria,Lobaria pulmonaria,Lobaria pulmonaria,Native,S5 (2018) ,new 2017,,,SQUAMISH,2017-11-26,squamishobserver,,https://www.inaturalist.org/observations/9001017,https://static.inaturalist.org/photos/12131998/medium.jpg?1512077410,,,tree lungwort
Lycoperdon perlatum,48443,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Lycoperdaceae,,,Lycoperdon,Lycoperdon perlatum,Lycoperdon perlatum,,no status,new 2019,,,SQUAMISH,2019-07-14,benkeen,,https://www.inaturalist.org/observations/28836479,https://static.inaturalist.org/photos/44976955/medium.jpeg?1563150580,,,common puffball
Lycoperdon umbrinum,118139,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Lycoperdaceae,,,Lycoperdon,Lycoperdon umbrinum,Lycoperdon umbrinum,,no status,new 2018,,,SQUAMISH,2018-09-29,benkeen,,https://www.inaturalist.org/observations/17041781,https://static.inaturalist.org/photos/25781037/medium.jpg?1538256556,,,umber-brown puffball
Marasmiellus candidus,118242,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Omphalotaceae,,,Marasmiellus,Marasmiellus candidus,Marasmiellus candidus,,no status,new 2018,,,SQUAMISH,2018-09-23,benkeen,,https://www.inaturalist.org/observations/16852567,https://static.inaturalist.org/photos/25448456/medium.jpg?1537744519,,,none
Marasmius calhouniae,118241,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Marasmiaceae,,,Marasmius,Marasmius calhouniae,Marasmius calhouniae,,not in CDC records,new 2018,,,SQUAMISH,2018-12-26,benkeen,,https://www.inaturalist.org/observations/19238734,https://static.inaturalist.org/photos/29557238/medium.jpg?1545866569,,,Calhoun's pinwheel
Merulius tremellosus,179113,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Meruliaceae,,,Merulius,Merulius tremellosus,Merulius tremellosus,,not in CDC records,new 2018,,,SQUAMISH,2018-09-23,benkeen,,https://www.inaturalist.org/observations/16852469,https://static.inaturalist.org/photos/25448289/medium.jpg?1537744369,,,trembling crust
Mucronella pendula,355939,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,,,,Mucronella,Mucronella pendula,Mucronella pendula,,no status,new 2018,,,SQUAMISH,2018-11-04,citizen1,,https://www.inaturalist.org/observations/18306352,https://static.inaturalist.org/photos/27970248/medium.jpg?1541867159,,,none
Mycena acicula,63426,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Mycenaceae,,,Mycena,Mycena acicula,Mycena acicula,,no status,new 2019,,,SQUAMISH,2019-10-06,judithofsquamish,,https://www.inaturalist.org/observations/34046618,https://static.inaturalist.org/photos/53535775/medium.jpeg?1570499256,,,orange bonnet
Mycena capillaripes,63434,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Mycenaceae,,,Mycena,Mycena capillaripes,Mycena capillaripes,,no status,new 2018,,,SQUAMISH,2018-09-18,benkeen,,https://www.inaturalist.org/observations/16675529,https://static.inaturalist.org/photos/25149304/medium.jpg?1537320510,,,pinkedge bonnet
Mycena epipterygia,179107,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Mycenaceae,,,Mycena,Mycena epipterygia,Mycena epipterygia,,no status,new 2018,,,SQUAMISH,2018-11-25,benkeen,,https://www.inaturalist.org/observations/18637396,https://static.inaturalist.org/photos/28527816/medium.jpg?1543190205,,,yellowleg bonnet
Mycena galericulata,63446,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Mycenaceae,,,Mycena,Mycena galericulata,Mycena galericulata,,no status,new 2018,,,SQUAMISH,2018-11-10,benkeen,,https://www.inaturalist.org/observations/18315516,https://static.inaturalist.org/photos/27985309/medium.jpg?1541891346,,,common bonnet
Mycena haematopus,63460,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Mycenaceae,,,Mycena,Mycena haematopus,Mycena haematopus,,no status,new 2018,,,SQUAMISH,2018-09-29,benkeen,,https://www.inaturalist.org/observations/17041667,https://static.inaturalist.org/photos/25780841/medium.jpg?1538256399,,,bleeding fairy helmet
Mycena oregonensis,63472,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Mycenaceae,,,Mycena,Mycena oregonensis,Mycena oregonensis,,no status,new 2019,,,SQUAMISH,2019-09-22,benkeen,,https://www.inaturalist.org/observations/33232035,https://static.inaturalist.org/photos/52178504/medium.jpeg?1569199551,,,western yellow mycena
Mycena pura,63473,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Mycenaceae,,,Mycena,Mycena pura,Mycena pura,,no status,new 2019,,,SQUAMISH,2019-09-29,benkeen,,https://www.inaturalist.org/observations/33620008,https://static.inaturalist.org/photos/52818890/medium.jpeg?1569796485,,,lilac bonnet
Myxarium nucleatum,742831,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Auriculariales,,,Hyaloriaceae,,,Myxarium,Myxarium nucleatum,Myxarium nucleatum,,no status,new 2019,,,SQUAMISH,2019-04-13,benkeen,,https://www.inaturalist.org/observations/22451844,https://static.inaturalist.org/photos/34777592/medium.jpg?1555220405,,,crystal brain fungus
Nectria cinnabarina,118012,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,Nectriaceae,,,Nectria,Nectria cinnabarina,Nectria cinnabarina,,no status,new 2019,,,SQUAMISH,2019-04-14,benkeen,,https://www.inaturalist.org/observations/22489965,https://static.inaturalist.org/photos/34839992/medium.jpg?1555283823,,,coral spot
Nidula candida,120036,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Nidulariaceae,,,Nidula,Nidula candida,Nidula candida,,no status,new 2018,,,SQUAMISH,2018-10-02,judithofsquamish,,https://www.inaturalist.org/observations/17176575,https://static.inaturalist.org/photos/26029822/medium.jpeg?1538617674,,,jellied bird's nest fungus
Nidula niveotomentosa,118138,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Nidulariaceae,,,Nidula,Nidula niveotomentosa,Nidula niveotomentosa,,no status,new 2018,,,SQUAMISH,2018-10-21,booboo,,https://www.inaturalist.org/observations/17732255,https://static.inaturalist.org/photos/27039366/medium.jpg?1540175779,,,bird's-nest fungus
Panellus stipticus,68309,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Mycenaceae,,,Panellus,Panellus stipticus,Panellus stipticus,,no status,new 2019,,,SQUAMISH,2019-12-07,benkeen,,https://www.inaturalist.org/observations/36446840,https://static.inaturalist.org/photos/57612090/medium.jpeg?1575754827,,,luminescent panellus
Parmelia sulcata,54734,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Parmelia,Parmelia sulcata,Parmelia sulcata,Native,S3S4 (2010) ,new 2018,,,SQUAMISH,2018-09-29,benkeen,,https://www.inaturalist.org/observations/17041766,https://static.inaturalist.org/photos/25780962/medium.jpg?1538256505,,,shield lichen
Parmotrema arnoldii,123349,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Parmotrema,Parmotrema arnoldii,Parmotrema arnoldii,Native,S5 (2019) ,new 2019,,,SQUAMISH,2019-10-02,judithofsquamish,,https://www.inaturalist.org/observations/33776649,https://static.inaturalist.org/photos/53084292/medium.jpeg?1570059995,,,Arnold's parmotrema lichen
Peltigera aphthosa,119675,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,Peltigera aphthosa,Peltigera aphthosa,Native,S5 (2018) ,new 2014,,,SQUAMISH,2014-11-23,judithofsquamish,,https://www.inaturalist.org/observations/5972368,https://static.inaturalist.org/photos/7464137/medium.jpeg?1493241576,,,freckled pelt lichen
Peltigera britannica,119677,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,Peltigera britannica,Peltigera britannica,Native,S5 (2018) ,new 2019,,,SQUAMISH,2019-03-16,benkeen,,https://www.inaturalist.org/observations/21295188,https://static.inaturalist.org/photos/32928584/medium.jpg?1552767905,,,flaky freckle pelt lichen
Peltigera collina,194736,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,Peltigera collina,Peltigera collina,Native,S5 (2018)  ,new 2018,,,SQUAMISH,2018-11-02,judithofsquamish,,https://www.inaturalist.org/observations/18043202,https://static.inaturalist.org/photos/27587294/medium.jpeg?1541201356,,,tree pelt lichen
Peltigera leucophlebia,119676,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,Peltigera leucophlebia,Peltigera leucophlebia,Native,S5 (2018),new 2018,,,SQUAMISH,2018-07-10,judithofsquamish,,https://www.inaturalist.org/observations/14337714,https://static.inaturalist.org/photos/21303826/medium.jpeg?1531540950,,,ruffled freckled pelt lichen
Peltigera membranacea,117858,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,Peltigera membranacea,Peltigera membranacea,Native,S5 (2018)  ,new 2018,,,SQUAMISH,2018-04-15,gwenlh,,https://www.inaturalist.org/observations/11070295,https://static.inaturalist.org/photos/15622895/medium.jpg?1523981833,,,membranous pelt lichen
Peltigera neopolydactyla,147374,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,Peltigera neopolydactyla,Peltigera neopolydactyla,Native,S5 (2019,new 2018,,,SQUAMISH,2018-11-07,judithofsquamish,,https://www.inaturalist.org/observations/18237281,https://static.inaturalist.org/photos/27866390/medium.jpeg?1541657631,,,carpet pelt lichen
Peltigera polydactylon,69728,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,Peltigera polydactylon,Peltigera polydactylon,Native,S5 (2018)  ,new 2018,,,SQUAMISH,2018-04-09,derekkillby,,https://www.inaturalist.org/observations/13802249,https://static.inaturalist.org/photos/20358484/medium.jpg?1530026233,,,many-fruited pelt lichen
Peziza repanda,118008,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Pezizaceae,,,Peziza,Peziza repanda,Peziza repanda,,no status,new 2018,,,SQUAMISH,2018-12-29,benkeen,,https://www.inaturalist.org/observations/19298237,https://static.inaturalist.org/photos/29664446/medium.jpg?1546127536,,,palomino cup
Phaeolus schweinitzii,118084,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Laetiporaceae,,,Phaeolus,Phaeolus schweinitzii,Phaeolus schweinitzii,,no status,new 2018,,,SQUAMISH,2018-09-23,benkeen,,https://www.inaturalist.org/observations/16857601,https://static.inaturalist.org/photos/25457967/medium.jpg?1537754153,,,Dyer's polypore
Phlebia radiata,155122,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Meruliaceae,,,Phlebia,Phlebia radiata,Phlebia radiata,,no status,new 2018,,,SQUAMISH,2018-11-06,judithofsquamish,,https://www.inaturalist.org/observations/18194657,https://static.inaturalist.org/photos/27807137/medium.jpeg?1541570309,,,wrinkled crust
Phlyctis argena,182631,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Phlyctidaceae,,,Phlyctis,Phlyctis argena,Phlyctis argena,,not in CDC records,new 2018,,,SQUAMISH,2018-11-10,benkeen,,https://www.inaturalist.org/observations/18315427,https://static.inaturalist.org/photos/27985160/medium.jpg?1541891070,,,whitewash lichen
Pholiota aurivella,124705,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Strophariaceae,,,Pholiota,Pholiota aurivella,Pholiota aurivella,,no status,new 2017,,,SQUAMISH,2017-10-09,sea2skynaturebc,,https://www.inaturalist.org/observations/8328042,https://static.inaturalist.org/photos/11063593/medium.jpg?1507570454,,,golden pholiota
Pholiota squarrosa,153445,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Strophariaceae,,,Pholiota,Pholiota squarrosa,Pholiota squarrosa,,no status,new 2019,,,SQUAMISH,2019-09-08,benkeen,,https://www.inaturalist.org/observations/32380572,https://static.inaturalist.org/photos/50779986/medium.jpeg?1567985905,,,shaggy pholiota
Pholiota squarrosoides,157728,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Strophariaceae,,,Pholiota,Pholiota squarrosoides,Pholiota squarrosoides,,no status,new 2018,,,SQUAMISH,2018-11-25,judithofsquamish,,https://www.inaturalist.org/observations/18635972,https://static.inaturalist.org/photos/28525421/medium.jpg?1543186971,,,none
Pholiota terrestris,118266,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Strophariaceae,,,Pholiota,Pholiota terrestris,Pholiota terrestris,,no status,new 2018,,,SQUAMISH,2018-11-04,judithofsquamish,,https://www.inaturalist.org/observations/18135683,https://static.inaturalist.org/photos/27722958/medium.jpeg?1541438161,,,none
Pilophorus acicularis,128919,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Pilophorus,Pilophorus acicularis,Pilophorus acicularis,Native,S5 (2018),new 2018,,,SQUAMISH,2018-10-09,judithofsquamish,,https://www.inaturalist.org/observations/18003289,https://static.inaturalist.org/photos/27521985/medium.jpeg?1541050380,,,devil's matchstick
Platismatia glauca,117874,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Platismatia,Platismatia glauca,Platismatia glauca,Native,S5 (2018) ,new 2018,,,SQUAMISH,2018-11-07,judithofsquamish,,https://www.inaturalist.org/observations/18237353,https://static.inaturalist.org/photos/27866517/medium.jpeg?1541657895,,,varied rag lichen
Platismatia tuckermanii,182657,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Platismatia,Platismatia tuckermanii,Platismatia tuckermanii,,not in CDC records,new 2019,,,SQUAMISH,2019-12-25,gwenlh,,https://www.inaturalist.org/observations/36976610,https://static.inaturalist.org/photos/58539559/medium.jpg?1577391690,,,crumpled rag lichen
Pleurocybella porrigens,48509,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Marasmiaceae,,,Pleurocybella,Pleurocybella porrigens,Pleurocybella porrigens,,no status,new 2017,,,SQUAMISH,2017-09-30,rainwalker,,https://www.inaturalist.org/observations/8187171,https://static.inaturalist.org/photos/10845273/medium.jpg?1506796704,,,angel's wings
Pleurotus ostreatus,48494,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pleurotineae,,Pleurotaceae,,,Pleurotus,Pleurotus ostreatus,Pleurotus ostreatus,,no status,new 2017,,,SQUAMISH,2017-05-05,chlorophilia,,https://www.inaturalist.org/observations/6113067,https://static.inaturalist.org/photos/7649678/medium.jpeg?1494092197,,,oyster mushroom
Pleurotus pulmonarius,136399,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pleurotineae,,Pleurotaceae,,,Pleurotus,Pleurotus pulmonarius,Pleurotus pulmonarius,,no status,new 2019,,,SQUAMISH,2019-06-02,judithofsquamish,,https://www.inaturalist.org/observations/26418885,https://static.inaturalist.org/photos/41021459/medium.jpeg?1559699197,,,summer oyster mushroom
Pluteus cervinus,60782,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Pluteaceae,,,Pluteus,Pluteus cervinus,Pluteus cervinus,,no status,new 2019,,,SQUAMISH,2019-07-07,benkeen,,https://www.inaturalist.org/observations/28402123,https://static.inaturalist.org/photos/44273211/medium.jpeg?1562544751,,,deer mushroom
Plicatura nivea,464306,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Amylocorticiales,,,Amylocorticiaceae,,,Plicatura,Plicatura nivea,Plicatura nivea,,no status,new 2018,,,SQUAMISH,2018-11-04,judithofsquamish,,https://www.inaturalist.org/observations/18135928,https://static.inaturalist.org/photos/27723125/medium.jpeg?1541438390,,,none
Pluteus exilis,351891,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Pluteaceae,,,Pluteus,Pluteus exilis,Pluteus exilis,,not in CDC records,new 2018,,,SQUAMISH,2018-10-16,chrisob,,https://www.inaturalist.org/observations/17593542,https://static.inaturalist.org/photos/26788081/medium.jpg?1539789092,,,western deer mushroom
Polycauliona polycarpa,463837,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,,,Polycauliona,Polycauliona polycarpa,Polycauliona polycarpa,,not in CDC records,new 2019,,,SQUAMISH,2019-03-10,benkeen,,https://www.inaturalist.org/observations/21131781,https://static.inaturalist.org/photos/32663232/medium.jpg?1552266426,,,pin-cushion sunburst lichen
Porpidia crustulata,182467,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,,Porpidia,Porpidia crustulata,Porpidia crustulata,,not in CDC records,new 2018,,,SQUAMISH,2018-10-09,judithofsquamish,,https://www.inaturalist.org/observations/18013024,https://static.inaturalist.org/photos/27537972/medium.jpeg?1541097878,,,concentric boulder lichen
Pseudohydnum gelatinosum,54164,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Auriculariales,,,,,,Pseudohydnum,Pseudohydnum gelatinosum,Pseudohydnum gelatinosum,,no status,new 2018,,,SQUAMISH,2018-12-26,benkeen,,https://www.inaturalist.org/observations/19238685,https://static.inaturalist.org/photos/29557141/medium.jpg?1545866410,,,toothed jelly fungus
Ramalina farinacea,54758,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Ramalina,Ramalina farinacea,Ramalina farinacea,Native,S5 (2018),new 2018,,,SQUAMISH,2018-11-10,benkeen,,https://www.inaturalist.org/observations/18315455,https://static.inaturalist.org/photos/27985196/medium.jpg?1541891141,,,farinose cartilage lichen
Ramaria formosa,48770,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Phallomycetidae,,Gomphales,,,Gomphaceae,,,Ramaria,Ramaria formosa,Ramaria formosa,,no status,new 2019,,,SQUAMISH,2019-08-24,kmfret,,https://www.inaturalist.org/observations/31701335,https://static.inaturalist.org/photos/49638613/medium.jpeg?1567035442,,,yellow-tipped coral fungus
